Date,State,District,Market,Commodity,Variety,Min_Price,Max_Price,Modal_Price,Arrival_Qty_qtl,Rainfall_mm
2020-06-21,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,870,1202,1102,98,45.7
2020-06-29,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,960,1303,1156,146,49.8
2020-07-05,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,977,1433,1131,202,45.8
2020-07-12,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,841,1342,1054,185,25.6
2020-07-21,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,671,852,752,209,20.1
2020-07-27,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,883,1096,975,230,103.8
2020-08-05,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,751,1018,861,362,8.0
2020-08-13,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,729,900,812,144,75.1
2020-08-22,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,770,1054,865,443,102.8
2020-08-29,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,840,1044,937,233,16.8
2020-09-05,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,1010,1409,1130,91,14.9
2020-09-14,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,794,1283,1014,162,88.2
2020-09-19,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,830,1045,904,330,64.4
2020-09-26,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,971,1325,1207,111,66.2
2020-10-03,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,726,1083,868,292,23.9
2020-10-12,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,597,857,703,320,8.4
2020-10-17,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,713,987,906,370,8.9
2020-10-23,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,737,973,892,257,2.0
2020-10-29,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,636,864,767,74,6.7
2020-11-06,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,504,707,593,188,22.6
2020-11-14,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,539,817,678,322,5.5
2020-11-23,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,399,549,495,1025,6.3
2020-11-30,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,578,755,664,207,10.1
2020-12-09,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,460,622,539,138,2.0
2020-12-17,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,443,617,494,686,9.5
2020-12-22,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,364,579,467,350,1.1
2020-12-29,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,562,724,623,892,4.3
2021-01-06,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,438,563,497,961,5.9
2021-01-13,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,487,696,578,717,2.1
2021-01-18,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,462,572,520,1085,7.3
2021-01-24,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,378,566,478,774,7.7
2021-02-02,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,718,1027,849,384,2.8
2021-02-11,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,580,891,725,318,4.9
2021-02-16,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,832,1106,940,413,1.5
2021-02-23,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,615,870,743,448,1.2
2021-02-28,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,777,1053,856,268,1.1
2021-03-05,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,908,1120,1002,36,9.9
2021-03-12,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,712,1090,874,298,4.8
2021-03-20,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,843,1084,929,171,7.4
2021-03-25,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,564,817,708,167,0.8
2021-04-02,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,775,1095,885,497,7.8
2021-04-09,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,729,1142,915,110,3.8
2021-04-17,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,693,932,774,313,7.8
2021-04-24,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,571,820,697,253,5.3
2021-05-01,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,946,1303,1176,190,10.0
2021-05-08,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,1113,1537,1366,60,1.5
2021-05-17,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,1230,1661,1341,37,9.5
2021-05-26,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,1384,2002,1613,147,6.5
2021-06-03,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,1100,1460,1197,45,90.4
2021-06-09,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,1560,2032,1789,20,101.1
2021-06-16,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,1289,1682,1464,42,43.8
2021-06-24,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,1006,1528,1242,24,101.3
2021-06-29,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,1074,1536,1268,116,47.4
2021-07-06,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,962,1287,1153,143,83.0
2021-07-15,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,956,1298,1130,241,111.5
2021-07-24,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,750,1169,945,412,26.4
2021-07-30,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,670,946,849,256,36.5
2021-08-04,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,738,1042,881,446,22.3
2021-08-09,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,798,1089,896,217,45.7
2021-08-18,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,993,1260,1116,37,64.1
2021-08-23,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,933,1361,1112,92,84.9
2021-08-31,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,870,1098,1017,218,99.0
2021-09-06,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,722,1097,895,343,119.2
2021-09-14,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,862,1174,1051,65,35.4
2021-09-21,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,794,998,865,140,69.6
2021-09-26,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,764,1169,958,175,39.9
2021-10-05,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,622,822,714,147,12.7
2021-10-13,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,662,866,771,188,22.6
2021-10-21,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,853,1225,1005,56,12.2
2021-10-27,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,850,1109,967,43,6.0
2021-11-05,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,479,763,600,251,23.0
2021-11-12,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,488,605,557,241,23.2
2021-11-19,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,430,643,548,929,4.9
2021-11-27,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,491,585,535,728,23.6
2021-12-03,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,495,697,563,757,5.5
2021-12-11,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,455,624,514,689,5.2
2021-12-20,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,403,591,462,1028,8.7
2021-12-26,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,468,675,539,494,4.8
2022-01-04,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,467,603,535,848,9.9
2022-01-11,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,382,548,440,480,9.4
2022-01-19,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,562,749,630,272,3.7
2022-01-24,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,528,639,583,762,8.6
2022-01-29,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,497,695,552,746,8.1
2022-02-05,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,804,1108,899,442,5.7
2022-02-11,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,625,917,722,57,8.4
2022-02-18,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,648,1044,817,240,7.2
2022-02-25,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,624,974,775,444,9.0
2022-03-04,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,739,1057,879,354,7.9
2022-03-13,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,838,1238,977,104,6.9
2022-03-19,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,686,1030,878,66,2.0
2022-03-26,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,910,1130,1036,60,0.9
2022-03-31,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,969,1164,1069,231,5.1
2022-04-05,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,701,1055,879,446,5.4
2022-04-11,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,719,1065,836,321,2.5
2022-04-18,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,651,878,810,77,4.5
2022-04-27,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,641,924,757,253,1.8
2022-05-05,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,998,1381,1199,112,7.0
2022-05-11,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,1179,1446,1292,96,8.5
2022-05-19,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,1085,1334,1229,172,3.6
2022-05-24,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,1230,1633,1404,287,5.3
2022-05-29,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,1068,1353,1173,63,0.8
2022-06-05,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,1194,1445,1324,117,73.3
2022-06-14,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,1244,1801,1465,206,82.7
2022-06-22,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,1078,1529,1320,99,57.9
2022-06-30,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,1395,1719,1590,91,107.7
2022-07-09,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,755,1066,935,349,53.1
2022-07-15,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,736,969,847,319,22.5
2022-07-22,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,657,1010,841,50,116.6
2022-07-31,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,640,989,798,362,118.8
2022-08-08,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,994,1387,1119,20,5.2
2022-08-14,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,764,1088,937,305,98.7
2022-08-23,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,1017,1486,1200,110,61.7
2022-08-29,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,772,1168,969,92,12.2
2022-09-07,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,862,1176,1003,108,9.8
2022-09-12,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,866,1138,1037,242,78.6
2022-09-19,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,1032,1480,1174,58,75.9
2022-09-25,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,1048,1565,1297,172,44.3
2022-09-30,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,797,1098,919,108,23.6
2022-10-08,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,770,1003,845,327,5.4
2022-10-14,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,722,1004,833,103,5.8
2022-10-22,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,691,1020,802,406,16.5
2022-10-31,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,730,979,905,258,28.0
2022-11-09,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,539,712,589,184,1.4
2022-11-15,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,482,677,554,876,14.4
2022-11-21,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,504,679,612,960,10.7
2022-11-29,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,456,635,513,554,15.4
2022-12-08,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,402,489,449,1020,6.9
2022-12-13,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,439,618,509,327,0.5
2022-12-21,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,454,686,572,1156,3.7
2022-12-29,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,545,722,598,1063,1.0
2023-01-06,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,502,715,573,751,5.7
2023-01-12,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,528,677,581,775,2.5
2023-01-17,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,396,575,451,498,3.8
2023-01-26,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,407,598,502,839,3.1
2023-02-04,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,799,1047,920,273,8.0
2023-02-11,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,897,1116,1027,223,1.6
2023-02-19,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,628,848,784,74,6.5
2023-02-25,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,931,1149,1047,106,7.0
2023-03-05,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,675,924,812,98,7.1
2023-03-10,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,1003,1416,1110,224,2.8
2023-03-17,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,802,1058,900,328,2.2
2023-03-22,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,642,909,789,412,6.0
2023-03-31,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,853,1266,991,84,0.6
2023-04-08,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,745,985,812,118,1.0
2023-04-17,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,974,1357,1064,89,1.7
2023-04-23,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,639,880,707,216,3.4
2023-05-01,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,1149,1663,1327,301,7.6
2023-05-06,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,1042,1319,1215,139,1.6
2023-05-13,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,1148,1504,1299,63,3.0
2023-05-22,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,1067,1414,1265,163,2.6
2023-05-27,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,973,1237,1074,34,5.7
2023-06-05,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,1550,2101,1740,73,17.1
2023-06-13,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,1017,1438,1291,125,5.4
2023-06-20,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,1390,1959,1619,136,78.5
2023-06-29,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,993,1442,1193,112,20.9
2023-07-05,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,980,1316,1185,184,111.4
2023-07-12,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,710,1010,832,464,35.3
2023-07-19,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,1075,1525,1254,201,23.2
2023-07-27,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,825,1138,1041,66,63.8
2023-08-03,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,693,991,819,201,82.5
2023-08-12,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,949,1353,1127,206,42.4
2023-08-18,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,920,1294,1179,172,46.7
2023-08-23,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,757,1047,892,329,51.8
2023-09-01,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,1232,1715,1397,179,75.6
2023-09-10,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,972,1328,1137,309,88.7
2023-09-19,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,937,1248,1019,103,29.1
2023-09-28,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,953,1420,1146,128,105.8
2023-10-05,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,566,749,676,347,25.1
2023-10-12,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,611,885,725,235,27.6
2023-10-19,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,973,1517,1211,31,15.2
2023-10-26,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,796,1073,985,176,25.5
2023-10-31,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,915,1383,1081,114,14.4
2023-11-09,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,569,687,631,477,23.3
2023-11-14,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,542,765,630,174,0.5
2023-11-21,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,485,690,559,375,7.4
2023-11-29,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,455,562,495,613,29.8
2023-12-08,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,527,714,649,418,6.7
2023-12-17,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,483,719,587,723,2.8
2023-12-25,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,446,700,570,835,0.9
2023-12-30,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,489,773,627,401,9.2
2024-01-05,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,421,596,536,113,1.7
2024-01-10,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,585,787,662,348,6.1
2024-01-18,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,501,734,597,613,0.4
2024-01-24,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,422,640,540,794,7.9
2024-02-01,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,939,1207,1031,81,2.7
2024-02-10,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,632,865,786,482,3.0
2024-02-19,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,923,1290,1036,249,1.1
2024-02-24,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,919,1378,1132,22,7.8
2024-03-03,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,636,843,773,358,8.1
2024-03-11,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,763,1093,947,178,3.9
2024-03-19,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,887,1135,979,140,6.3
2024-03-28,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,888,1214,1114,267,2.8
2024-04-02,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,867,1156,979,184,0.7
2024-04-09,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,734,938,838,469,1.0
2024-04-14,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,664,889,758,131,7.2
2024-04-19,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,983,1384,1096,277,6.2
2024-04-27,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,564,757,695,183,5.2
2024-05-05,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,1248,1810,1575,165,6.4
2024-05-10,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,966,1234,1127,113,8.7
2024-05-19,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,970,1413,1208,203,6.3
2024-05-25,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,979,1424,1118,139,2.8
2024-05-30,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,1107,1682,1402,204,2.7
2024-06-07,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,1401,1852,1527,200,86.2
2024-06-12,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,1252,1625,1497,39,72.5
2024-06-20,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,1282,1835,1566,43,77.0
2024-06-26,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,1160,1577,1457,263,72.8
2024-07-01,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,804,1101,906,419,80.0
2024-07-08,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,1026,1449,1170,35,91.1
2024-07-15,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,791,1182,966,206,96.7
2024-07-24,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,917,1298,1156,161,20.4
2024-08-02,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,877,1228,974,130,10.8
2024-08-09,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,1014,1319,1175,28,95.6
2024-08-18,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,726,997,910,472,63.3
2024-08-24,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,943,1469,1190,57,108.8
2024-08-30,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,796,1074,983,263,54.8
2024-09-07,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,799,1112,884,250,17.7
2024-09-15,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,1184,1489,1364,82,90.6
2024-09-20,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,719,1106,922,354,95.4
2024-09-29,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,700,968,848,164,90.2
2024-10-08,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,715,953,789,447,3.7
2024-10-16,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,1032,1513,1282,237,0.4
2024-10-24,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,773,1125,915,90,29.6
2024-11-02,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,586,821,684,478,7.0
2024-11-08,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,631,814,707,219,6.9
2024-11-15,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,647,1011,829,322,12.4
2024-11-23,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,416,592,509,1002,19.0
2024-11-30,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,718,948,836,367,29.5
2024-12-07,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,586,773,687,100,9.7
2024-12-14,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,590,946,750,482,7.4
2024-12-22,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,606,802,673,322,0.2
2024-12-31,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,447,622,547,349,7.4
2020-01-05,Madhya Pradesh,Bhopal,Bhopal APMC,Cabbage,Red,469,618,572,201,8.2
2020-01-10,Madhya Pradesh,Bhopal,Bhopal APMC,Cabbage,Red,557,758,609,861,7.4
2020-01-16,Madhya Pradesh,Bhopal,Bhopal APMC,Cabbage,Green,515,725,585,347,9.9
2020-01-21,Madhya Pradesh,Bhopal,Bhopal APMC,Cabbage,Red,435,618,518,742,5.4
2020-01-28,Madhya Pradesh,Bhopal,Bhopal APMC,Cabbage,Green,500,664,546,592,1.5
2020-02-02,Madhya Pradesh,Bhopal,Bhopal APMC,Cabbage,Green,696,963,802,385,0.1
2020-02-07,Madhya Pradesh,Bhopal,Bhopal APMC,Cabbage,Green,724,900,804,132,7.1
2020-02-12,Madhya Pradesh,Bhopal,Bhopal APMC,Cabbage,Red,673,886,793,90,7.6
2020-02-18,Madhya Pradesh,Bhopal,Bhopal APMC,Cabbage,Red,543,659,600,661,3.0
2020-02-26,Madhya Pradesh,Bhopal,Bhopal APMC,Cabbage,Green,827,1224,998,181,0.2
2020-03-05,Madhya Pradesh,Bhopal,Bhopal APMC,Cabbage,Green,686,1034,862,493,5.0
2020-03-13,Madhya Pradesh,Bhopal,Bhopal APMC,Cabbage,Green,697,971,878,122,1.1
2020-03-20,Madhya Pradesh,Bhopal,Bhopal APMC,Cabbage,Red,613,810,732,474,4.6
2020-03-25,Madhya Pradesh,Bhopal,Bhopal APMC,Cabbage,Green,695,940,801,227,1.6
2020-03-31,Madhya Pradesh,Bhopal,Bhopal APMC,Cabbage,Red,737,1013,877,256,0.0
2020-04-07,Madhya Pradesh,Bhopal,Bhopal APMC,Cabbage,Green,587,874,713,437,4.9
2020-04-15,Madhya Pradesh,Bhopal,Bhopal APMC,Cabbage,Red,861,1057,977,155,3.0
2020-04-20,Madhya Pradesh,Bhopal,Bhopal APMC,Cabbage,Red,652,877,798,207,7.5
2020-04-27,Madhya Pradesh,Bhopal,Bhopal APMC,Cabbage,Green,535,801,651,261,0.4
2020-05-06,Madhya Pradesh,Bhopal,Bhopal APMC,Cabbage,Red,1104,1626,1356,220,9.6
